amt,gender,city_pop,age,trans_month,trans_year,latitudinal_distance,longitudinal_distance,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
50.21,1,964,44.0,12,2019,0.472,0.281,0,0,0,0,0,0,1,0,0,0,0,0,0
314.47,0,2383912,60.0,2,2020,0.894,0.318,0,0,0,1,0,0,0,0,0,0,0,0,0
211.68,0,3495,31.0,12,2019,0.695,0.843,0,0,0,1,0,0,0,0,0,0,0,0,0
5.07,0,1139,68.0,8,2019,0.089,0.841,0,0,0,0,0,0,0,0,0,0,0,1,0
10.76,0,8830,28.0,10,2019,0.905,0.745,0,0,0,0,0,0,0,0,0,0,0,0,1
266.85,1,910148,31.0,3,2019,0.533,0.935,0,0,0,1,0,0,0,0,0,0,0,0,0
68.79,1,1504,25.0,6,2019,0.332,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0
852.22,0,85,34.0,6,2019,0.001,0.026,0,0,0,0,0,0,0,0,0,0,1,0,0
284.56,0,12866,73.0,12,2019,0.465,0.411,0,0,0,1,0,0,0,0,0,0,0,0,0
10.42,1,272,17.0,2,2019,0.206,0.951,0,1,0,0,0,0,0,0,0,0,0,0,0
326.53,1,4471,46.0,5,2020,0.392,0.802,0,0,0,1,0,0,0,0,0,0,0,0,0
96.05,0,1643,44.0,4,2020,0.386,0.64,0,0,0,1,0,0,0,0,0,0,0,0,0
6.05,1,471,52.0,5,2020,0.861,0.436,0,0,0,0,1,0,0,0,0,0,0,0,0
95.04,0,302,45.0,3,2019,0.205,0.794,1,0,0,0,0,0,0,0,0,0,0,0,0
911.85,0,1252,82.0,7,2019,0.57,0.719,0,0,0,0,0,0,0,0,0,0,1,0,0
24.21,0,85,34.0,6,2019,0.301,0.438,0,0,0,0,0,0,1,0,0,0,0,0,0
9.15,0,4984,67.0,12,2019,0.889,0.937,0,1,0,0,0,0,0,0,0,0,0,0,0
19.13,0,9521,42.0,1,2020,0.542,0.909,0,0,0,0,0,0,1,0,0,0,0,0,0
810.7,1,7879,70.0,6,2020,0.208,0.048,0,0,0,0,0,0,0,1,0,0,0,0,0
56.52,0,4542,21.0,12,2019,0.344,0.89,0,0,0,1,0,0,0,0,0,0,0,0,0
42.53,0,753116,48.0,2,2020,0.417,0.067,0,0,0,0,1,0,0,0,0,0,0,0,0
6.45,0,478,59.0,9,2019,0.466,0.818,0,0,0,0,0,0,0,0,0,0,1,0,0
11.03,0,28425,19.0,5,2020,0.699,0.808,0,1,0,0,0,0,0,0,0,0,0,0,0
4.64,1,568,50.0,12,2019,0.868,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0
97.86,0,6120,42.0,9,2019,0.288,0.915,0,0,0,0,0,1,0,0,0,0,0,0,0
317.85,0,165556,21.0,7,2019,0.431,0.079,0,0,0,1,0,0,0,0,0,0,0,0,0
5.07,0,163415,15.0,6,2020,0.337,0.668,0,0,0,0,0,0,0,0,0,0,1,0,0
1055.57,1,1645,43.0,12,2019,0.571,0.354,0,0,0,0,0,0,0,0,0,0,1,0,0
