amt,gender,city_pop,is_fraud,age,trans_month,trans_year,latitudinal_distance,longitudinal_distance,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
86.19,0,92043,0,58.0,12,2019,0.741,0.249,0,1,0,0,0,0,0,0,0,0,0,0,0
85.81,0,1019,0,41.0,4,2020,0.175,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0
99.3,0,184,0,74.0,12,2019,0.381,0.947,0,0,0,1,0,0,0,0,0,0,0,0,0
42.09,0,743,0,47.0,6,2019,0.033,0.008,0,0,0,0,0,1,0,0,0,0,0,0,0
4.24,0,87124,0,32.0,4,2019,0.858,0.413,0,0,0,0,0,0,0,0,0,0,1,0,0
72.75,1,970,0,25.0,8,2019,0.987,0.255,0,1,0,0,0,0,0,0,0,0,0,0,0
7.87,0,73,0,84.0,6,2019,0.109,0.016,0,0,0,0,0,0,0,0,0,0,0,1,0
5.53,0,139,0,64.0,5,2019,0.9,0.423,0,0,0,0,0,0,1,0,0,0,0,0,0
89.91,1,47249,0,38.0,4,2019,0.324,0.016,0,1,0,0,0,0,0,0,0,0,0,0,0
38.72,0,1051,0,42.0,3,2019,0.873,0.44,0,0,0,0,0,1,0,0,0,0,0,0,0
24.82,0,917,0,23.0,3,2019,0.401,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0
2.64,0,215,0,50.0,5,2019,0.551,0.035,0,0,0,0,0,0,0,0,0,0,0,1,0
43.09,0,2807,0,88.0,6,2019,0.331,0.355,1,0,0,0,0,0,0,0,0,0,0,0,0
99.9,1,632,0,30.0,9,2019,0.633,0.398,0,0,0,0,0,0,0,0,0,0,1,0,0
1.18,0,10295,0,22.0,5,2020,0.462,0.62,0,0,0,0,0,0,0,0,0,0,0,0,1
47.64,0,973849,0,23.0,3,2020,0.84,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0
5.39,0,217,0,30.0,5,2020,0.695,0.606,0,0,0,0,0,0,0,0,0,1,0,0,0
23.78,0,11256,0,47.0,5,2020,0.852,0.921,0,0,0,0,0,0,0,0,0,1,0,0,0
73.62,1,47772,0,54.0,3,2020,0.613,0.015,0,1,0,0,0,0,0,0,0,0,0,0,0
3.34,0,11751,0,55.0,9,2019,0.13,0.779,0,0,0,0,0,0,0,0,1,0,0,0,0
32.11,1,276896,0,22.0,10,2019,0.175,0.59,0,0,0,0,0,0,1,0,0,0,0,0,0
42.32,1,970,0,25.0,8,2019,0.783,0.994,0,0,0,0,0,0,1,0,0,0,0,0,0
8.83,0,1523,0,35.0,6,2019,0.844,0.758,0,0,0,0,0,0,0,0,0,0,1,0,0
28.54,0,1631,0,66.0,10,2019,0.358,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
11.52,0,836,0,38.0,3,2020,0.978,0.177,0,0,0,0,0,1,0,0,0,0,0,0,0
62.79,1,467,0,35.0,3,2020,0.5,0.538,0,0,0,0,0,0,1,0,0,0,0,0,0
99.16,1,2457,0,39.0,5,2020,0.54,0.398,0,0,0,0,0,0,0,0,0,0,1,0,0
50.7,0,222,0,56.0,3,2020,0.854,0.534,0,1,0,0,0,0,0,0,0,0,0,0,0
211.6,0,71485,0,45.0,5,2020,0.708,0.863,0,0,0,1,0,0,0,0,0,0,0,0,0
111.58,0,50835,0,34.0,5,2020,0.084,0.805,0,0,0,0,0,0,0,0,0,0,1,0,0
46.14,0,725,0,46.0,4,2019,0.896,0.27,0,0,0,0,0,0,1,0,0,0,0,0,0
15.12,1,3224,0,22.0,12,2019,0.647,0.101,0,0,0,0,0,1,0,0,0,0,0,0,0
28.15,1,1263321,0,66.0,7,2019,0.309,0.96,0,0,0,0,0,1,0,0,0,0,0,0,0
66.93,0,391389,0,25.0,11,2019,0.964,0.17,0,1,0,0,0,0,0,0,0,0,0,0,0
21.08,1,1132,0,58.0,9,2019,0.779,0.688,0,0,0,0,0,0,1,0,0,0,0,0,0
95.58,0,1089,0,47.0,3,2019,0.274,0.718,0,0,0,1,0,0,0,0,0,0,0,0,0
70.09,0,2303,0,31.0,7,2019,0.913,0.928,0,1,0,0,0,0,0,0,0,0,0,0,0
4.21,1,71335,0,25.0,2,2020,0.003,0.383,0,0,0,0,0,0,0,0,0,0,1,0,0
6.89,0,1368,0,48.0,10,2019,0.124,0.332,0,0,0,0,0,0,1,0,0,0,0,0,0
7.68,0,92043,0,58.0,7,2019,0.843,0.415,0,0,0,0,1,0,0,0,0,0,0,0,0
